"UniqueId";"Email";"Phone";"confirmationEmail";"RegistrationDate"
"77";"usertest77@mailinator.com";"+6289512349876";"0";"2018-08-21 23:06:52"
"78";"usertest78@mailinator.com";"+6281511332211";"1";"2018-08-26 03:05:37"
"79";"usertest79@mailinator.com";"+6281512345432";"1";"2018-08-26 03:38:23"
"80";"usertest80@mailinator.com";"+6285912332145";"1";"2018-08-27 12:15:49"
"81";"usertest81@mailinator.com";"+6289511552234";"0";"2018-09-01 00:29:38"
"82";"usertest82@mailinator.com";"+6289512345432";"1";"2018-09-01 00:30:08"
"83";"usertest83@sharklasers.com";"+625412332144";"0";"2018-10-10 06:38:59"
"84";"usertest84@sharklasers.com";"+6281532132112";"1";"2018-10-15 03:44:17"
"85";"usertest85@sharklasers.com";"+6241233214";"1";"2018-10-19 02:33:20"
"86";"usertest86@gmail.com";"081512347567";"1";"2019-02-27 10:23:06"
"87";"usertest87@gmail.com";"-";"1";"2019-02-27 10:25:44"
"88";"usertest88@gmail.com";"-";"1";"2019-02-27 10:37:29"
"89";"usertest89@gmail.com";"-";"1";"2019-02-27 10:43:22"
"90";"usertest90@gmail.com";"-";"1";"2019-02-27 10:46:59"
"91";"usertest91@gmail.com";"-";"1";"2019-02-27 10:50:48"
"92";"drixsplay92@gmail.com";"-";"1";"2019-02-27 10:51:14"
"93";"user93@gmail.com";"-";"1";"2019-02-27 10:51:58"
"94";"usertest94@gmail.com";"-";"1";"2019-02-27 11:08:11"
"95";"usertest95@gmail.com";"-";"1";"2019-02-27 13:10:52"
"96";"usertest96@gmail.com";"-";"1";"2019-02-28 04:18:19"
"97";"lala@gmail.com";"-";"1";"2019-02-28 04:29:46"
"98";"usertest98@gmail.com";"+628590786543";"1";"2019-02-28 04:34:13"
"99";"usertest99@gmail.com";"+6251236543";"1";"2019-02-28 04:37:06"
"100";"testuser00@gmail.com";"-";"1";"2019-03-04 10:56:57"
"101";"testuser01@gmail.com";"+629412376897";"1";"2019-03-04 11:00:43"
"102";"testuser02@gmail.com";"+6264123546642";"1";"2019-03-04 11:05:48"
"103";"testuser03@mailinator.com";"+62612345775";"0";"2019-04-09 03:07:46"
"104";"testuser04@pahamify.com";"085712365423";"1";"2019-04-13 06:00:07"
"105";"testuser05@sharklasers.com";"085613579864";"0";"2019-04-26 16:05:59"
"106";"testuser06@mailinator.com";"-";"1";"2019-05-01 22:40:21"
"107";"testuser07@mailinator.com";"+6285612343212";"1";"2019-05-02 14:35:45"
"108";"testuser08@sharklasers.com";"+626412365445";"1";"2019-05-21 07:19:50"
"109";"testuser09@mailinator.com";"-";"1";"2019-05-24 07:05:09"
"110";"testuser10@mailinator.com";"-";"1";"2019-05-24 07:11:08"
"111";"testuser11@mailinator.com";"-";"1";"2019-05-24 10:13:02"
"112";"testuser12@mailinator.com";"08712332112";"1";"2019-05-26 03:29:34"
"113";"testuser13@sharklasers.com";"087112332123";"1";"2019-05-28 02:23:57"
"114";"testuser14@ganteng.com";"+621212332112";"0";"2019-06-03 08:00:12"
"115";"testuser15@sharklasers.com";"0815512332123";"0";"2019-06-14 12:35:06"
"116";"testuser16@sharklasers.com";"+6267123321123";"1";"2019-07-01 04:03:36"
"117";"testuser17@sharklasers.com";"+625412332112";"1";"2019-07-11 07:12:35"
"118";"testuser18@sharklasers.com";"+628112332112";"1";"2019-07-29 07:51:08"
"119";"testuser19@sharklasers.com";"+62612332112";"1";"2019-08-14 15:41:43"
"120";"testuser20@sharklasers.com";"+626612332112";"1";"2019-08-28 11:35:49"
"121";"testuser21@sharklasers.com";"+6262232123";"1";"2019-08-28 14:30:46"
"122";"testuser23@sharklasers.com";"+6264323432";"1";"2019-08-28 18:36:45"
"123";"testuser22@pahamify.com";"089612332123";"1";"2019-09-09 06:15:07"
"124";"testuser25@sharklasers.com";"+62861322132";"0";"2019-09-11 03:05:32"
"125";"testuser26@gmail.com";"+62851232123";"1";"2019-09-13 02:55:28"
"126";"testuser24@gmail.com";"+62853123321456";"1";"2019-09-16 04:19:41"
"127";"testuser29@pahamify.com";"+6289123432123";"1";"2019-09-16 10:23:08"
"128";"testuser28@pahamify.com";"+628512332123";"1";"2019-09-18 10:22:45"
"129";"testuser27@gmail.com";"+628123321123";"1";"2019-09-18 10:24:43"
"130";"testuser30@gmail.com";"+6289123321123";"1";"2019-09-27 03:05:00"
"131";"testuser31@sharklasers.com";"+6285123321121";"1";"2019-10-11 07:22:25"
"132";"testuser32@gmail.com";"-";"1";"2019-10-14 10:18:28"
"133";"testuser33@apps.ipb.ac.id";"-";"1";"2019-10-15 07:16:05"
"134";"testuser3+1@yahoo.co.id";"-";"1";"2019-10-15 09:56:31"
"135";"testuser35@gmail.com";"+6289123321212";"1";"2019-10-16 07:45:26"
"136";"testuser36@sharklasers.com";"+626412332112";"1";"2019-10-17 18:14:36"
"137";"testuser37@pahamify.com";"087812332112";"1";"2019-10-22 05:24:42"
"138";"testuser38@apps.ipb.ac.id";"+6285312332112";"1";"2019-10-25 02:55:30"
"139";"testuser39@gmail.com";"+62853123321321";"1";"2019-10-28 09:23:50"
"140";"testuser40@sharklasers.com";"+62912121212";"1";"2019-10-31 07:50:56"
"141";"testuser41@sharklasers.com";"+6298765432";"1";"2019-10-31 09:01:36"
"142";"testuser42@gmail.com";"+6285712332112";"1";"2019-11-11 04:10:30"
"143";"testuser43@gmail.com";"-";"1";"2019-11-13 07:54:36"
"144";"testuser44@pahamify.com";"+628512332112";"1";"2019-11-14 10:29:34"
"145";"testuser45@sharklasers.com";"+6285312321123";"1";"2019-11-19 06:24:41"
"146";"testuser46@gmail.com";"+6281212332112";"1";"2019-11-20 04:25:16"
"147";"testuser47@sharklasers.com";"+6285312332112";"1";"2019-11-27 02:36:37"
"148";"testuser48@sharklasers.com";"+6285312376534";"1";"2019-11-27 02:50:08"
"149";"testuser49@yahoo.co.id";"-";"1";"2019-11-29 08:21:13"
"150";"testuser50@pahamify.com";"+628134566532";"1";"2019-12-03 09:19:03"
"151";"testuser51@sharklasers.com";"+6285312332112";"1";"2019-12-05 02:47:05"
"152";"testuser52@pahamify.com";"-";"1";"2020-01-03 08:38:04"
"153";"testuser5+150-2@apps.ipb.ac.id";"-";"1";"2020-01-03 09:42:15"
"154";"testuser54@apps.ipb.ac.id";"-";"1";"2020-01-03 09:55:24"
"155";"testuser55@pahamify.com";"08571231243";"1";"2020-01-06 11:20:31"
"156";"testuser56@gmail.com";"085712332112";"1";"2020-01-09 09:55:01"
"157";"testuser57@gmail.com";"+6285612332112";"1";"2020-01-13 06:06:55"
