"ProfileUniqueId";"Name";"Gender";"SchoolYear";"District";"UniqueId";"ProfileFillDate";"LastProfileUpdated"
"104";"Misaka Mikoto SIster 06";"P";"XI IPA";"Aceh";"140";"2019-10-31 07:51:53";"2019-10-31 08:25:54"
"105";"Misaka Mikoto SIster 07";"L";"GAP YEAR";"Aceh";"141";"2019-10-31 09:03:33";"2019-11-02 19:08:26"
"106";"Misaka Mikoto SIster 08";"P";"I";"Jawa Timur";"142";"2019-11-11 04:11:00";"2020-01-09 08:20:36"
"107";"Default";"Default";"XII IPA";"Default";"143";"2019-11-13 07:54:44";"2019-11-13 07:54:44"
"108";"Misaka Mikoto SIster 09";"L";"XI IPA";"Aceh";"144";"2019-11-14 10:30:16";"2019-11-14 10:33:06"
"109";"Misaka Mikoto SIster 10";"L";"XI IPA";"Aceh";"132";"2019-11-18 07:20:16";"2019-11-27 09:05:40"
"110";"Misaka Mikoto SIster 11";"P";"XI IPA";"Aceh";"145";"2019-11-19 06:25:23";"2019-11-19 06:36:36"
"111";"Misaka Mikoto SIster 12";"P";"XII SMK";"D.K.I Jakarta";"146";"2019-11-20 04:27:42";"2019-11-20 04:28:40"
"112";"Misaka Mikoto SIster 13";"L";"XI IPA";"Aceh";"147";"2019-11-27 02:37:28";"2019-11-27 04:41:09"
"113";"Misaka Mikoto SIster 14";"L";"XII IPA";"Aceh";"148";"2019-11-27 02:50:54";"2019-12-05 03:57:04"
"114";"Default";"Default";"X SMK";"Default";"149";"2019-11-29 08:21:17";"2019-11-29 08:21:17"
"115";"Misaka Mikoto SIster 15";"L";"XI IPA";"Aceh";"134";"2019-12-02 10:03:25";"2019-12-02 10:05:47"
"116";"Misaka Mikoto SIster 16";"P";"XI IPA";"Jawa Barat";"150";"2019-12-03 09:19:57";"2020-01-02 10:07:37"
"117";"Misaka Mikoto SIster 17";"L";"XII IPA";"Bali";"151";"2019-12-05 02:47:45";"2019-12-05 08:57:45"
"118";"Default";"Default";"X IPA";"Default";"152";"2020-01-03 08:38:50";"2020-01-03 08:38:50"
"119";"Misaka Mikoto SIster 18";"L";"I";"Aceh";"153";"2020-01-03 09:43:49";"2020-01-03 09:52:50"
"120";"Default";"Default";"XII IPS";"Default";"154";"2020-01-03 09:55:25";"2020-01-03 09:55:25"
"121";"Default";"Default";"XII IPS";"Default";"155";"2020-01-06 11:22:30";"2020-01-06 11:22:30"
"122";"Default";"Default";"XI SMK";"Default";"156";"2020-01-09 10:02:06";"2020-01-09 10:02:06"
"123";"Misaka Mikoto SIster 19";"L";"I";"Aceh";"157";"2020-01-13 06:10:37";"2020-01-13 06:25:02"
